seed,run_id,mobility,status,rejection_reason,rejected_at_s,probe_captured,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
1570,1570,0,accepted,none,0.000000,1,5.880000,2.589517,1.000000,11.000000,8.000000,3.857460,49.000000,0.000000,50,0,67.924902
1588,1588,0,rejected,assert_connectivity,60.000000,1,6.120000,2.710277,0.000000,11.000000,7.320000,3.580168,47.040000,6.720000,0,0,69.276805
1578,1578,0,accepted,none,0.000000,1,5.800000,1.428286,3.000000,9.000000,6.480000,3.112812,49.000000,0.000000,50,0,69.391090
1592,1592,0,rejected,assert_connectivity,60.000000,1,6.200000,2.778489,1.000000,11.000000,7.320000,4.076469,38.120000,13.219138,0,0,66.402177
1580,1580,0,accepted,none,0.000000,1,5.720000,2.668633,1.000000,12.000000,7.720000,3.544235,49.000000,0.000000,50,0,70.121084
1593,1593,0,rejected,too_close,60.000000,1,5.600000,2.144761,2.000000,11.000000,5.880000,3.102515,49.000000,0.000000,50,1,69.988654
1594,1594,0,rejected,assert_connectivity,60.000000,1,5.400000,1.854724,0.000000,9.000000,6.840000,2.595072,47.040000,6.720000,0,0,71.968691
1583,1583,0,accepted,none,0.000000,1,5.360000,2.431131,1.000000,11.000000,7.720000,3.747212,49.000000,0.000000,50,0,78.342964
1596,1596,0,rejected,too_close,60.000000,1,5.480000,2.229260,1.000000,10.000000,6.240000,3.608656,49.000000,0.000000,50,1,63.817351
1586,1586,0,accepted,none,0.000000,1,5.280000,2.218468,1.000000,10.000000,7.960000,3.725372,49.000000,0.000000,50,0,72.804127
1597,1597,0,rejected,assert_connectivity,60.000000,1,6.400000,2.856571,1.000000,12.000000,9.600000,4.413615,45.160000,9.014122,0,0,63.771583
1590,1590,0,accepted,none,0.000000,1,5.400000,1.371131,2.000000,8.000000,5.920000,2.488694,49.000000,0.000000,50,0,61.484008
1598,1598,0,rejected,assert_connectivity,60.000000,1,7.080000,3.230108,0.000000,14.000000,9.520000,4.143622,47.040000,6.720000,0,0,64.238712
1589,1589,0,accepted,none,0.000000,1,5.400000,2.088061,2.000000,10.000000,7.120000,3.592436,49.000000,0.000000,50,0,61.062958
1603,1603,0,rejected,assert_connectivity,60.000000,1,5.800000,2.653300,1.000000,11.000000,5.080000,2.910945,43.360000,10.449421,0,0,58.923190
1591,1591,0,accepted,none,0.000000,1,5.480000,2.758550,1.000000,11.000000,7.160000,3.817643,49.000000,0.000000,50,0,73.166562
1605,1605,0,rejected,assert_connectivity,60.000000,1,5.520000,2.459593,1.000000,11.000000,6.240000,3.802946,40.000000,12.000000,0,0,72.059067
1604,1604,0,rejected,too_close,60.000000,1,6.440000,1.971395,3.000000,11.000000,7.640000,2.651490,49.000000,0.000000,50,0,70.012881
1606,1606,0,rejected,assert_connectivity,60.000000,1,5.120000,2.160000,0.000000,9.000000,6.080000,3.375441,47.040000,6.720000,0,0,68.964384
1608,1608,0,rejected,assert_connectivity,60.000000,1,5.400000,1.833030,0.000000,10.000000,6.600000,2.262742,47.040000,6.720000,0,0,64.860868
1609,1609,0,rejected,assert_connectivity,60.000000,1,6.080000,2.834361,0.000000,12.000000,6.840000,4.001800,41.520000,11.803796,0,0,64.301587
1599,1599,0,accepted,none,0.000000,1,6.520000,2.156293,1.000000,10.000000,7.440000,3.105865,49.000000,0.000000,50,0,61.091249
1595,1595,0,accepted,none,0.000000,1,6.840000,2.941836,1.000000,11.000000,9.240000,4.567538,49.000000,0.000000,50,0,65.677490
1611,1611,0,rejected,assert_connectivity,60.000000,1,6.720000,3.274385,1.000000,13.000000,7.600000,4.427189,34.920000,13.931030,0,0,67.622889
1610,1610,0,rejected,assert_connectivity,60.000000,1,5.920000,2.440000,0.000000,10.000000,5.640000,2.910395,41.520000,11.803796,0,0,67.426036
1601,1601,0,accepted,none,0.000000,1,5.920000,2.674621,1.000000,12.000000,5.960000,2.972945,49.000000,0.000000,50,0,69.082163
1600,1600,0,accepted,none,0.000000,1,6.680000,3.602444,2.000000,14.000000,9.160000,3.640659,49.000000,0.000000,50,0,74.259719
1614,1614,0,rejected,too_close,60.000000,1,5.520000,2.264862,1.000000,11.000000,6.440000,2.829558,49.000000,0.000000,50,1,68.158844
1613,1613,0,rejected,assert_connectivity,60.000000,1,7.280000,4.079412,0.000000,15.000000,9.520000,4.548582,41.520000,11.803796,0,0,75.519713
1615,1615,0,rejected,assert_connectivity,60.000000,1,5.320000,1.922914,0.000000,9.000000,6.600000,3.052868,45.120000,9.210081,0,0,70.439268
1602,1602,0,accepted,none,0.000000,1,7.040000,3.352372,2.000000,13.000000,9.840000,4.721695,49.000000,0.000000,50,0,60.560959
1618,1618,0,rejected,too_close,60.000000,1,5.760000,2.140654,2.000000,10.000000,7.520000,3.753612,49.000000,0.000000,50,0,68.086865
1607,1607,0,accepted,none,0.000000,1,5.880000,1.955914,3.000000,11.000000,7.480000,3.419006,49.000000,0.000000,50,0,63.408157
