run_id,scenario,window_start,window_end,throughput_mbps,pdr_percent,avg_delay_s,tx_packets,rx_packets,rx_bytes,udp_rx_in_window,udp_expected_in_window,udp_loss_percent,overhead_ratio,hello_count,olsr_control_bytes_with_hello,path_hops_internal,min_attacker_trust,avg_attacker_trust,blacklist_max_size,mac_tx_in_window,mac_drop_in_window,mac_tx_total,mac_drop_total
2403,defense_vs_attack,420.000000,460.000000,0.000864,44.444444,0.019061,18,8,4320,8,18,55.555556,73.545370,1000,317716,5,1.000000,1.000000,0,1854,0,19801,0
2406,baseline,120.000000,160.000000,0.001944,100.000000,0.041823,18,18,9720,18,18,0.000000,30.729630,1000,298692,8,1.000000,1.000000,0,1875,0,6817,0
2406,attack_only,220.000000,260.000000,0.000000,0.000000,0.000000,18,0,0,0,18,100.000000,0.000000,1000,300796,8,1.000000,1.000000,0,1804,0,11162,0
2406,defense_only,320.000000,360.000000,0.001944,100.000000,0.025306,18,18,9720,18,18,0.000000,30.302881,1000,294544,8,1.000000,1.000000,0,1830,0,15552,0
2406,defense_vs_attack,420.000000,460.000000,0.000216,11.111111,0.598477,18,2,1080,2,18,88.888889,277.322222,1000,299508,8,1.000000,1.000000,0,2126,0,20252,0
2415,baseline,120.000000,160.000000,0.001944,100.000000,0.020602,18,18,9720,18,18,0.000000,22.113580,1000,214944,4,1.000000,1.000000,0,1621,0,6181,0
2415,attack_only,220.000000,260.000000,0.001944,100.000000,0.008026,18,18,9720,18,18,0.000000,21.621811,1000,210164,4,1.000000,1.000000,0,1626,0,10152,0
2415,defense_only,320.000000,360.000000,0.001944,100.000000,0.017176,18,18,9720,18,18,0.000000,22.324691,1000,216996,4,1.000000,1.000000,0,1597,0,14052,0
2415,defense_vs_attack,420.000000,460.000000,0.001944,100.000000,0.009678,18,18,9720,18,18,0.000000,21.560494,1000,209568,4,1.000000,1.000000,0,1609,0,17945,0
2412,baseline,120.000000,160.000000,0.001944,100.000000,0.042452,18,18,9720,18,18,0.000000,31.210288,1000,303364,8,1.000000,1.000000,0,1956,0,7081,0
2412,attack_only,220.000000,260.000000,0.001944,100.000000,0.017051,18,18,9720,18,18,0.000000,32.362963,1000,314568,8,1.000000,1.000000,0,1909,0,11684,0
2412,defense_only,320.000000,360.000000,0.001944,100.000000,0.036361,18,18,9720,18,18,0.000000,31.297531,1000,304212,8,1.000000,1.000000,0,1920,0,16233,0
2412,defense_vs_attack,420.000000,460.000000,0.001728,88.888889,0.021120,18,16,8640,16,18,11.111111,36.480556,1000,315192,8,1.000000,1.000000,0,1926,0,20833,0
2416,baseline,120.000000,160.000000,0.001944,100.000000,0.015721,18,18,9720,18,18,0.000000,31.995062,1000,310992,3,1.000000,1.000000,0,1806,0,6763,0
2416,attack_only,220.000000,260.000000,0.001944,100.000000,0.006060,18,18,9720,18,18,0.000000,31.648971,1000,307628,3,1.000000,1.000000,0,1697,0,11010,0
2416,defense_only,320.000000,360.000000,0.001944,100.000000,0.013026,18,18,9720,18,18,0.000000,32.012757,1000,311164,3,1.000000,1.000000,0,1793,0,15335,0
2416,defense_vs_attack,420.000000,460.000000,0.001944,100.000000,0.007066,18,18,9720,18,18,0.000000,32.079424,1000,311812,3,1.000000,1.000000,0,1779,0,19676,0
2421,baseline,120.000000,160.000000,0.001944,100.000000,0.030937,18,18,9720,18,18,0.000000,25.406996,1000,246956,6,1.000000,1.000000,0,1662,0,6123,0
2421,attack_only,220.000000,260.000000,0.000000,0.000000,0.000000,18,0,0,0,18,100.000000,0.000000,1000,251364,7,1.000000,1.000000,0,1611,0,10077,0
2421,defense_only,320.000000,360.000000,0.001944,100.000000,0.016409,18,18,9720,18,18,0.000000,25.194239,1000,244888,6,1.000000,1.000000,0,1662,0,14031,0
2421,defense_vs_attack,420.000000,460.000000,0.001512,77.777778,0.022909,18,14,7560,14,18,22.222222,33.317989,1000,251884,7,1.000000,1.000000,0,1652,0,18018,0
2429,baseline,120.000000,160.000000,0.001944,100.000000,0.036998,18,18,9720,18,18,0.000000,23.209053,1000,225592,7,1.000000,1.000000,0,1646,0,6046,0
2429,attack_only,220.000000,260.000000,0.000000,0.000000,0.000000,0,0,0,0,18,100.000000,0.000000,1000,213620,0,1.000000,1.000000,0,1498,0,9805,0
