seed,run_id,mobility,status,rejection_reason,rejected_at_s,probe_captured,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
289,289,0,rejected,assert_connectivity,60.000000,1,6.760000,3.063070,0.000000,12.000000,9.680000,4.249423,45.120000,9.210081,0,0,71.567400
290,290,0,rejected,assert_connectivity,60.000000,1,5.760000,1.934528,0.000000,11.000000,5.240000,2.902137,29.280000,11.435104,0,0,55.371333
291,291,0,rejected,assert_connectivity,60.000000,1,7.280000,3.231346,0.000000,14.000000,9.040000,3.831240,47.040000,6.720000,0,0,68.297333
292,292,0,rejected,assert_connectivity,60.000000,1,5.800000,2.227106,1.000000,9.000000,6.440000,3.144265,31.840000,11.598896,0,0,64.709940
295,295,0,rejected,too_close,60.000000,1,6.240000,1.924162,1.000000,10.000000,8.320000,3.849364,49.000000,0.000000,50,0,66.436540
279,279,0,accepted,none,0.000000,1,6.360000,3.185969,1.000000,13.000000,8.400000,5.118594,49.000000,0.000000,50,0,76.163467
285,285,0,accepted,none,0.000000,1,5.400000,1.673320,1.000000,9.000000,5.720000,2.449816,49.000000,0.000000,50,0,68.624245
296,296,0,rejected,assert_connectivity,60.000000,1,5.440000,2.021485,0.000000,10.000000,6.560000,3.623037,47.040000,6.720000,0,0,63.720098
283,283,0,accepted,none,0.000000,1,6.320000,2.240000,1.000000,10.000000,6.200000,2.771281,49.000000,0.000000,50,0,67.555577
286,286,0,accepted,none,0.000000,1,5.280000,1.661806,2.000000,9.000000,6.480000,2.801714,49.000000,0.000000,50,0,64.906734
299,299,0,rejected,assert_connectivity,60.000000,1,5.160000,2.023462,0.000000,10.000000,4.520000,3.584634,30.440000,14.245224,0,0,64.203100
301,301,0,rejected,assert_connectivity,60.000000,1,6.640000,2.944554,0.000000,13.000000,7.640000,5.152708,30.480000,14.177785,0,0,63.369203
300,300,0,rejected,assert_connectivity,60.000000,1,6.640000,2.937754,0.000000,12.000000,8.960000,4.137439,47.040000,6.720000,0,0,65.006587
287,287,0,accepted,none,0.000000,1,6.440000,2.108649,2.000000,10.000000,8.680000,3.042630,49.000000,0.000000,50,0,54.714262
302,302,0,rejected,assert_connectivity,60.000000,1,5.680000,2.386965,1.000000,11.000000,7.480000,4.085291,45.160000,9.014122,0,1,67.311981
303,303,0,rejected,assert_connectivity,60.000000,1,6.920000,2.415285,0.000000,13.000000,7.200000,4.547527,47.040000,6.720000,0,1,56.592504
304,304,0,rejected,assert_connectivity,60.000000,1,6.280000,2.383611,0.000000,11.000000,7.000000,3.800000,47.040000,6.720000,0,0,70.465506
305,305,0,rejected,assert_connectivity,60.000000,1,6.000000,2.209072,1.000000,10.000000,5.720000,4.195426,45.160000,9.014122,0,0,55.380819
306,306,0,rejected,assert_connectivity,60.000000,1,5.840000,2.571848,0.000000,11.000000,8.440000,3.493766,47.040000,6.720000,0,0,62.322064
309,309,0,rejected,too_close,60.000000,1,7.240000,3.271452,1.000000,13.000000,9.400000,4.280187,49.000000,0.000000,50,0,67.910748
293,293,0,accepted,none,0.000000,1,5.240000,1.806212,2.000000,9.000000,6.200000,2.807134,49.000000,0.000000,50,0,74.390883
311,311,0,rejected,too_close,60.000000,1,6.080000,2.278947,2.000000,11.000000,7.680000,3.139682,49.000000,0.000000,50,0,67.004037
312,312,0,rejected,assert_connectivity,60.000000,1,5.560000,3.014366,1.000000,12.000000,6.320000,3.602444,38.120000,13.219138,0,0,71.589171
313,313,0,rejected,too_close,60.000000,1,5.640000,1.621851,2.000000,10.000000,5.960000,2.813965,49.000000,0.000000,50,1,63.657219
294,294,0,accepted,none,0.000000,1,6.760000,2.285257,2.000000,14.000000,8.400000,4.660472,49.000000,0.000000,50,0,58.741791
298,298,0,accepted,none,0.000000,1,6.360000,2.805423,1.000000,12.000000,8.480000,3.389631,49.000000,0.000000,50,0,68.637045
314,314,0,rejected,assert_connectivity,60.000000,1,7.040000,3.682173,0.000000,16.000000,6.960000,4.074113,18.320000,7.484491,0,1,56.843115
297,297,0,accepted,none,0.000000,1,5.880000,2.746926,1.000000,12.000000,7.680000,4.342534,49.000000,0.000000,50,0,71.807037
315,315,0,rejected,too_close,60.000000,1,5.160000,1.665653,2.000000,8.000000,6.280000,2.400333,49.000000,0.000000,50,0,65.488564
318,318,0,rejected,too_close,60.000000,1,6.720000,2.877777,1.000000,13.000000,8.520000,3.721505,49.000000,0.000000,50,1,62.506896
320,320,0,rejected,assert_connectivity,60.000000,1,6.720000,3.053130,1.000000,13.000000,9.160000,5.334267,45.160000,9.014122,0,0,60.677725
307,307,0,accepted,none,0.000000,1,6.200000,2.107131,1.000000,10.000000,6.320000,3.307204,49.000000,0.000000,50,0,61.097825
308,308,0,accepted,none,0.000000,1,5.320000,2.248911,2.000000,11.000000,7.200000,3.583295,49.000000,0.000000,50,0,62.045537
324,324,0,rejected,assert_connectivity,60.000000,1,7.560000,3.960606,1.000000,15.000000,10.920000,5.377137,41.640000,11.394314,0,0,69.079343
325,325,0,rejected,assert_connectivity,60.000000,1,5.080000,1.927070,0.000000,10.000000,7.120000,4.203047,39.840000,12.485768,0,0,66.075597
310,310,0,accepted,none,0.000000,1,6.080000,3.005595,1.000000,12.000000,8.600000,3.714835,49.000000,0.000000,50,0,74.658504
326,326,0,rejected,assert_connectivity,60.000000,1,6.960000,3.393877,0.000000,13.000000,9.920000,4.947080,41.440000,12.073376,0,1,70.955529
328,328,0,rejected,assert_connectivity,60.000000,1,6.000000,2.253886,2.000000,10.000000,5.560000,3.232089,43.360000,10.449421,0,0,58.272980
317,317,0,accepted,none,0.000000,1,5.880000,2.277191,1.000000,10.000000,6.400000,2.481935,49.000000,0.000000,50,0,56.540469
316,316,0,accepted,none,0.000000,1,5.600000,2.135416,1.000000,10.000000,7.680000,3.016223,49.000000,0.000000,50,0,62.044466
329,329,0,rejected,too_close,60.000000,1,5.520000,1.899895,1.000000,9.000000,6.280000,3.033414,49.000000,0.000000,50,1,61.605844
321,321,0,accepted,none,0.000000,1,5.840000,2.221351,2.000000,10.000000,7.160000,3.015692,49.000000,0.000000,50,0,63.602833
319,319,0,accepted,none,0.000000,1,6.520000,2.647565,2.000000,12.000000,8.400000,3.736308,49.000000,0.000000,50,0,71.450858
323,323,0,accepted,none,0.000000,1,6.200000,2.271563,2.000000,11.000000,8.640000,3.422046,49.000000,0.000000,50,0,76.149053
322,322,0,accepted,none,0.000000,1,6.840000,2.460569,1.000000,12.000000,8.400000,3.605551,49.000000,0.000000,50,0,61.510026
327,327,0,accepted,none,0.000000,1,5.960000,2.135041,2.000000,11.000000,7.000000,3.098387,49.000000,0.000000,50,0,60.899777
330,330,0,accepted,none,0.000000,1,4.880000,1.739425,2.000000,9.000000,5.800000,2.630589,49.000000,0.000000,50,0,60.197669
